21.12.2015 21:18:13 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:18:58 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:19:04 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:20:19 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:20:22 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v002_ar.ma
21.12.2015 21:21:01 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:21:04 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v003_ar.ma
21.12.2015 21:23:48 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:23:51 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v004_ar.ma
21.12.2015 21:26:28 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:26:31 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v005_ar.ma
21.12.2015 21:27:20 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:27:25 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v006_ar.ma
21.12.2015 21:27:57 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:28:00 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v007_ar.ma
21.12.2015 21:28:32 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:28:36 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v008_ar.ma
21.12.2015 21:28:49 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:29:29 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:29:33 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v009_ar.ma
21.12.2015 21:30:04 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:30:07 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v010_ar.ma
21.12.2015 21:31:06 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:31:13 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v011_ar.ma
21.12.2015 21:32:09 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:32:11 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v012_ar.ma
21.12.2015 21:33:03 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:33:05 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v013_ar.ma
21.12.2015 21:33:23 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:33:25 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v014_ar.ma
21.12.2015 21:34:55 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:34:57 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v015_ar.ma
21.12.2015 21:35:34 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:35:36 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v016_ar.ma
21.12.2015 21:35:55 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:35:57 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v017_ar.ma
21.12.2015 21:36:22 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:36:25 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v018_ar.ma
21.12.2015 21:37:30 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:37:32 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v019_ar.ma
21.12.2015 21:38:24 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:38:26 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v020_ar.ma
21.12.2015 21:39:07 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:39:09 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/010/20_ANIM/WORK\010_ANIM_v021_ar.ma
21.12.2015 21:56:05 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:56:23 | arSave           - log                    | INFO     | arichter     | START
21.12.2015 21:56:25 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/40_shots/020_newestShit/00_PLATE/WORK\020_newestShit_PLATE_v002_ar.ma
23.12.2015 11:04:58 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 11:05:12 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 11:06:20 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK\ballerina_SHD_v014_ar.ma
23.12.2015 11:17:37 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 11:18:37 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK\studio_SHD_v002_ar.ma
23.12.2015 11:29:12 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 11:29:17 | arSave           - clicked_btnCancel      | INFO     | arichter     | END : CANCEL
23.12.2015 11:29:41 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 11:30:36 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK\studio_SHD_v003_ar.ma
23.12.2015 11:48:10 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 11:49:15 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK\studio_SHD_v004_ar.ma
23.12.2015 12:21:53 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:21:55 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v002_ar.ma
23.12.2015 12:24:22 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:24:44 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v003_ar.ma
23.12.2015 12:28:08 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:28:11 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v004_ar.ma
23.12.2015 12:28:26 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:28:29 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v005_ar.ma
23.12.2015 12:28:40 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:28:42 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v006_ar.ma
23.12.2015 12:29:35 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:29:38 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v007_ar.ma
23.12.2015 12:31:48 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:31:53 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v008_ar.ma
23.12.2015 12:32:16 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:32:19 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v009_ar.ma
23.12.2015 12:33:50 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:33:52 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v010_ar.ma
23.12.2015 12:34:31 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:34:33 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v011_ar.ma
23.12.2015 12:36:59 | arSave           - log                    | INFO     | arichter     | START
23.12.2015 12:37:06 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/ballerina_dance/40_LIGHT/WORK\ballerina_dance_LIGHT_v012_ar.ma
