30.12.2015 16:51:50 | arReport         - log                    | INFO     | arichter     | START
30.12.2015 16:52:07 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.12.2015 17:13:12 | arReport         - log                    | INFO     | arichter     | START
30.12.2015 17:13:26 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.12.2015 17:13:41 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2015_12_30_17_13_41
30.12.2015 17:18:41 | arReport         - log                    | INFO     | arichter     | START
30.12.2015 17:20:15 | arReport         - log                    | INFO     | arichter     | START
30.12.2015 17:21:30 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2015_12_30_17_21_30
30.12.2015 17:21:31 | arReport         - log                    | INFO     | arichter     | START
30.12.2015 17:22:08 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2015_12_30_17_22_08
30.12.2015 17:22:12 | arReport         - log                    | INFO     | arichter     | START
06.01.2016 16:30:26 | arReport         - log                    | INFO     | arichter     | START
06.01.2016 16:30:48 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2015_12_30_17_13_41
08.01.2016 14:41:27 | arReport         - log                    | INFO     | arichter     | START
08.01.2016 14:41:49 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_01_08_14_41_49
08.01.2016 16:21:04 | arReport         - log                    | INFO     | arichter     | START
08.01.2016 16:21:14 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_01_08_14_41_49
09.01.2016 02:46:35 | arReport         - log                    | INFO     | arichter     | START
09.01.2016 02:46:42 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
09.01.2016 02:47:29 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_01_09_02_47_29
12.01.2016 15:03:06 | arReport         - log                    | INFO     | arichter     | START
12.01.2016 15:03:10 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
12.01.2016 15:04:10 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_01_12_15_04_10
12.01.2016 17:25:07 | arReport         - log                    | INFO     | arichter     | START
13.01.2016 11:51:00 | arReport         - log                    | INFO     | arichter     | START
13.01.2016 11:51:26 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_01_13_11_51_26
13.01.2016 15:37:44 | arReport         - log                    | INFO     | arichter     | START
13.01.2016 15:37:52 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2015_12_30_17_21_30
29.01.2016 10:54:41 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:10:10 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:20:43 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:31:25 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:31:49 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:34:11 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:35:06 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:35:09 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
29.01.2016 14:35:36 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_01_29_14_35_36
29.01.2016 14:35:38 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:39:02 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:43:41 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:43:50 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
29.01.2016 14:44:13 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:48:13 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:49:36 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:50:26 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:51:25 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:54:08 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:56:04 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:56:12 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 14:56:20 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:00:36 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:00:56 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:01:18 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:01:38 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:02:04 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:02:37 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:02:53 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:03:15 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:03:33 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:05:51 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:07:23 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:07:31 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:12:57 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:25:49 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:28:54 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:32:37 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:34:10 | arReport         - log                    | INFO     | arichter     | START
29.01.2016 15:53:55 | arReport         - log                    | INFO     | arichter     | START
10.02.2016 16:33:38 | arReport         - log                    | INFO     | arichter     | START
17.02.2016 17:34:04 | arReport         - log                    | INFO     | arichter     | START
17.02.2016 17:34:24 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
17.02.2016 17:34:40 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
17.02.2016 17:34:53 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_02_17_17_34_53
17.02.2016 17:34:54 | arReport         - log                    | INFO     | arichter     | START
18.02.2016 12:27:04 | arReport         - log                    | INFO     | arichter     | START
18.02.2016 15:23:13 | arReport         - log                    | INFO     | arichter     | START
18.02.2016 15:23:30 | arReport         - log                    | INFO     | arichter     | START
18.02.2016 15:24:23 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_02_18_15_24_23
18.02.2016 15:24:25 | arReport         - log                    | INFO     | arichter     | START
18.02.2016 15:24:32 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_01_29_14_35_36
