21.06.2016 17:00:09 | referenceSCENE_SHD - start                  | INFO     | arichter     | START
21.06.2016 17:00:37 | referenceSCENE_SHD - start                  | WARNING  | arichter     | Scene or Camera is already used
21.06.2016 17:00:37 | referenceSCENE_SHD - start                  | INFO     | arichter     | END : Reference SCENE_SHD
21.06.2016 17:00:40 | referenceSCENE_SHD - start                  | INFO     | arichter     | START
21.06.2016 17:00:56 | referenceSCENE_SHD - start                  | WARNING  | arichter     | Scene or Camera is already used
21.06.2016 17:00:56 | referenceSCENE_SHD - start                  | INFO     | arichter     | END : Reference SCENE_SHD
21.06.2016 17:21:30 | referenceSCENE_SHD - start                  | INFO     | arichter     | START
21.06.2016 17:21:31 | referenceSCENE_SHD - start                  | WARNING  | arichter     | Scene or Camera is already used
21.06.2016 17:21:31 | referenceSCENE_SHD - start                  | INFO     | arichter     | END : Reference SCENE_SHD
21.06.2016 19:00:45 | referenceSCENE_SHD - start                  | INFO     | arichter     | START
21.06.2016 19:00:46 | referenceSCENE_SHD - start                  | WARNING  | arichter     | Scene or Camera is already used
21.06.2016 19:00:46 | referenceSCENE_SHD - start                  | INFO     | arichter     | END : Reference SCENE_SHD
25.06.2016 14:52:15 | referenceSCENE_SHD - start                  | INFO     | arichter     | START
25.06.2016 14:52:15 | referenceSCENE_SHD - start                  | WARNING  | arichter     | Scene or Camera is already used
25.06.2016 14:52:15 | referenceSCENE_SHD - start                  | INFO     | arichter     | END : Reference SCENE_SHD
30.06.2016 19:42:43 | referenceSCENE_SHD - start                  | INFO     | arichter     | START
30.06.2016 19:42:44 | referenceSCENE_SHD - start                  | WARNING  | arichter     | Scene or Camera is already used
30.06.2016 19:42:44 | referenceSCENE_SHD - start                  | INFO     | arichter     | END : Reference SCENE_SHD
30.06.2016 20:31:44 | referenceSCENE_SHD - start                  | INFO     | arichter     | START
30.06.2016 20:31:44 | referenceSCENE_SHD - start                  | WARNING  | arichter     | Scene or Camera is already used
30.06.2016 20:31:44 | referenceSCENE_SHD - start                  | INFO     | arichter     | END : Reference SCENE_SHD
